County,5figgrid,x,y,,,6figgrid,,dum_x,dum_y,gamecov_present,gamecov_poss,gamecov_absent,Advert_presence,Advert_details,gamebird_breed,gamebird_winter,pheasant_breed,pheasant_wint,rlp_breed,rlp_wint,APHA_rel_ph&rlp,logAPHA_rel_ph&rlp,APHA_rel_present,broad_wood,conif_wood,arable,imp_grass,semnat_grass,mountain,saltwater,freshwater,coastal,built_up,habitat_div_shannon
Devon,SS30E,230,108,230,108,230108,230108,230500,108500,0,1,0,0,,3,4,3,4,0,0,0,0,0,13.75,3,7.25,71.25,0,4.25,0,0,0,1.25,0.998787989
Devon,SS31A,230,110,230,110,230110,230110,230500,110500,0,2,0,0,,2,4,2,4,0,0,0,0,0,4.5,2.25,23,70.5,0,0,0,0,0,0,0.809383069
Devon,SS31B,230,112,230,112,230112,230112,230500,112500,2,0,0,0,,2,0,2,0,0,0,0,0,0,1.25,0,9.75,86.75,0,1.25,0,0,0,1,0.505879149
Devon,SS31C,230,114,230,114,230114,230114,230500,114500,0,0,1,0,,2,0,2,0,0,0,0,0,0,12.25,6.25,8,72.25,0.25,0.75,0,0,0,0.5,0.945558
Devon,SS31D,230,116,230,116,230116,230116,230500,116500,0,1,0,0,,2,0,2,0,0,0,0,0,0,6.75,0,11,79.75,0,2.25,0,0,0,0.5,0.717070167
Devon,SS31E,230,118,230,118,230118,230118,230500,118500,0,2,0,0,,2,2,2,2,0,0,0,0,0,13.75,8.5,6.75,65.75,0,4.75,0,0,0,1,1.130788853
Devon,SS32A,230,120,230,120,230120,230120,230500,120500,0,0,1,0,,2,2,2,2,0,0,0,0,0,4.75,25.75,12.5,54.75,0.25,1.5,0,0,0,1,1.20785932
Devon,SS32B,230,122,230,122,230122,230122,230500,122500,0,0,1,0,,4,4,3,4,1,0,0,0,0,4.25,0.25,49.25,41.25,0,2.75,0,1,0,1.25,1.062949598
Devon,SS32C,230,124,230,124,230124,230124,230500,124500,2,1,0,20,"Clovelly Shoot approx 230, 124 pheasant and partridge https://www.gunsonpegs.com/shoots/devon/clovelly-shoot both syndicate and driven days. Driven days = up to 400 birds, syndicate days of up to 300 birds",5,5,5,5,0,0,62000,4.792398694,1,23,0.5,48,5,0,2,0,0,3.25,4.25,1.190436758
Devon,SS32D,230,126,230,126,230126,230126,230500,126500,0,0,1,0,,2,6,2,6,0,0,0,0,0,3.25,0,1.25,0,0,0.25,0,0,2.5,0,0.273337724
Devon,SX39F,232,90,232,090,232090,23290,232500,90500,0,0,1,0,,3,2,3,2,0,0,0,0,0,8.75,0.25,22,67,0,0,0,0,0,1.5,0.892562501
Devon,SX39G,232,92,232,092,232092,23292,232500,92500,0,0,1,0,,4,2,3,2,1,0,0,0,0,17,14,22.5,45.75,0,0,0,0.25,0,0.5,1.311336174
Devon,SX39H,232,94,232,094,232094,23294,232500,94500,0,0,1,0,,4,1,4,1,0,0,600,2.778874472,1,22,5.25,18.5,54.25,0,0,0,0,0,0.5,1.15825825
Devon,SX39I,232,96,232,096,232096,23296,232500,96500,0,0,1,0,,0,2,0,2,0,0,0,0,0,6.25,4,15.75,74,0,0,0,0,0,0.5,0.84246313
Devon,SX39J,232,98,232,098,232098,23298,232500,98500,0,1,0,0,,3,2,3,2,0,0,0,0,0,11.75,0.75,39.75,46,0,0.25,0,0,0,1.25,1.081976108
Devon,SS30F,232,100,232,100,232100,232100,232500,100500,0,0,1,0,,5,0,3,0,2,0,0,0,0,6.25,10.5,30.75,47,0,4.25,0,0.25,0,1.25,1.331404207
Devon,SS30G,232,102,232,102,232102,232102,232500,102500,0,1,0,0,,1,0,1,0,0,0,0,0,0,4.25,0,27.75,63,0,0.25,0,0,0,5.25,0.950737919
Devon,SS30H,232,104,232,104,232104,232104,232500,104500,0,0,1,0,,2,3,2,2,0,1,0,0,0,11,2.5,8.5,71.5,0,1.25,0,0,0,4.75,0.983928123
Devon,SS30I,232,106,232,106,232106,232106,232500,106500,0,0,1,0,,2,3,2,3,0,0,0,0,0,8,0,9.5,79,0,0.25,0,0,0,3.75,0.750004081
Devon,SS30J,232,108,232,108,232108,232108,232500,108500,0,1,0,0,,2,2,2,2,0,0,0,0,0,0.75,2.75,19.25,76,0,0,0,0,0,1.25,0.716041264
Devon,SS31F,232,110,232,110,232110,232110,232500,110500,0,0,1,0,,2,0,2,0,0,0,0,0,0,3.75,0,34,61.75,0,0,0,0,0,0.5,0.81409697
Devon,SS31G,232,112,232,112,232112,232112,232500,112500,0,1,0,0,,2,0,2,0,0,0,0,0,0,10,0,18.25,68.5,0,0,0,0,0,3.5,0.917186656
Devon,SS31H,232,114,232,114,232114,232114,232500,114500,0,0,1,0,,2,1,2,0,0,1,0,0,0,2.75,1.75,17.75,69,0,3,0,0.5,0,5.25,1.018916361
Devon,SS31I,232,116,232,116,232116,232116,232500,116500,0,0,1,0,,3,0,3,0,0,0,0,0,0,7.25,0.25,11.25,79,1,0,0,0,0,1.5,0.746289046
Devon,SS31J,232,118,232,118,232118,232118,232500,118500,0,0,1,0,,2,2,2,2,0,0,0,0,0,7,0.25,6.75,84.25,0,0.25,0,0.25,0,1,0.603479769
Devon,SS32F,232,120,232,120,232120,232120,232500,120500,0,0,1,0,,0,2,0,2,0,0,0,0,0,2,0,14.25,77.25,0,1,0,0,0,5.25,0.756055741
Devon,SS32G,232,122,232,122,232122,232122,232500,122500,6,1,0,0,,4,5,3,5,1,0,0,0,0,16,3.25,48.25,26.25,0,2.25,0,0,1.75,1.25,1.318246192
Devon,SS32H,232,124,232,124,232124,232124,232500,124500,0,0,1,0,,2,3,0,3,2,0,0,0,0,7.25,0,1.5,0,0,0.25,0,0,3.25,0,0.379588213
Devon,SX38M,234,84,234,084,234084,23484,234500,84500,0,0,1,0,,2,3,2,3,0,0,0,0,0,7,0.5,4.25,84.5,0,0,0,0,0,3.75,0.612307264
Devon,SX38N,234,86,234,086,234086,23486,234500,86500,0,0,1,0,,2,5,2,5,0,0,0,0,0,4.5,0.75,13.5,81,0,0,0,0,0,0.25,0.632243132
Devon,SX38P,234,88,234,088,234088,23488,234500,88500,0,0,1,0,,3,3,3,3,0,0,0,0,0,4.5,0,3.25,92,0,0,0,0,0,1,0.373673701
Devon,SX39K,234,90,234,090,234090,23490,234500,90500,0,1,0,0,,3,0,3,0,0,0,0,0,0,4.75,0,44,50.5,0,0,0,0,0,0.5,0.877471153
Devon,SX39L,234,92,234,092,234092,23492,234500,92500,0,0,1,0,,3,1,1,1,2,0,0,0,0,1,0,58.25,39,0,0,0,0,0,2.25,0.813447631
Devon,SX39M,234,94,234,094,234094,23494,234500,94500,0,0,1,0,,2,3,2,3,0,0,0,0,0,10.5,0,59.25,29.75,0,0,0,0,0,1,0.953488743
Devon,SX39N,234,96,234,096,234096,23496,234500,96500,0,0,1,0,,2,0,2,0,0,0,0,0,0,8.25,1.75,46.75,40,0,2,0,0,0,1.25,1.131629636
Devon,SX39P,234,98,234,098,234098,23498,234500,98500,0,1,0,0,,3,0,3,0,0,0,0,0,0,6.75,0,28,61.75,0,1,0,0,0,2.5,0.974341006
Devon,SS30K,234,100,234,100,234100,234100,234500,100500,0,4,0,0,,2,0,2,0,0,0,0,0,0,7.25,33.5,16,42.25,0,0.5,0,0,0,0.75,1.277029099
Devon,SS30L,234,102,234,102,234102,234102,234500,102500,0,0,1,0,,2,0,2,0,0,0,0,0,0,3,0,5,82.25,0.25,0,0,0,0,9.5,0.654302549
Devon,SS30M,234,104,234,104,234104,234104,234500,104500,0,0,1,0,,2,2,2,2,0,0,0,0,0,3.25,0,17.75,64.75,0,0,0,0,0,14.75,0.981952395
Devon,SS30N,234,106,234,106,234106,234106,234500,106500,0,0,1,0,,0,0,0,0,0,0,0,0,0,1.5,2,23,72.5,0,0.5,0,0,0,1,0.784952926
Devon,SS30P,234,108,234,108,234108,234108,234500,108500,0,0,1,0,,2,2,2,2,0,0,0,0,0,6.25,1.25,27,63,0,0.75,0,0,0,2.75,1.008184011
Devon,SS31K,234,110,234,110,234110,234110,234500,110500,0,0,1,0,,0,0,0,0,0,0,0,0,0,6.25,0,28,63,0,0,0,0,0,3,0.925996261
Devon,SS31L,234,112,234,112,234112,234112,234500,112500,0,0,1,0,,4,0,4,0,0,0,0,0,0,3.75,0,43.75,51.25,0,1.25,0,0,0,0.5,0.9086498
Devon,SS31M,234,114,234,114,234114,234114,234500,114500,0,0,1,0,,2,0,2,0,0,0,0,0,0,5.5,0,24,69,0,0.5,0,0,0,0.75,0.821253059
Devon,SS31N,234,116,234,116,234116,234116,234500,116500,0,0,1,0,,2,3,2,3,0,0,0,0,0,8.75,0.5,5.75,79.25,0,5.25,0,0,0,1.25,0.797665865
Devon,SS31P,234,118,234,118,234118,234118,234500,118500,0,1,0,0,,3,2,3,2,0,0,0,0,0,9.75,3.25,15.5,67.5,0,3,0,0,0,0.75,1.034500327
Devon,SS32K,234,120,234,120,234120,234120,234500,120500,0,0,1,0,,2,2,2,2,0,0,0,0,0,4,0,31,62.75,0,0,0,0,0,2.25,0.869614441
Devon,SS32L,234,122,234,122,234122,234122,234500,122500,0,0,1,0,,4,5,3,3,1,2,0,0,0,28.25,1.25,25.25,26.5,0,0,0,0,5.25,7.25,1.456297314
Devon,SS32M,234,124,234,124,234124,234124,234500,124500,0,#N/A,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devon,SX37U,236,78,236,078,236078,23678,236500,78500,0,0,1,0,,4,4,4,4,0,0,0,0,0,16.75,19.5,8,55.25,0,0,0,0,0,0.5,1.174410811
Devon,SX38Q,236,80,236,080,236080,23680,236500,80500,0,0,1,0,,2,0,2,0,0,0,0,0,0,14.5,0.25,11.25,67.25,0,6.25,0,0,0,0.5,1.007361903
Devon,SX38R,236,82,236,082,236082,23682,236500,82500,0,0,1,0,,3,4,3,4,0,0,0,0,0,9.25,3.5,22.25,65,0,0,0,0,0,0.5,0.978414568
Devon,SX38S,236,84,236,084,236084,23684,236500,84500,0,1,0,0,,4,7,4,7,0,0,0,0,0,11.75,0,38.5,47.75,0,0,0,0,0,2,1.050296059
Devon,SX38T,236,86,236,086,236086,23686,236500,86500,0,0,1,0,,2,5,2,5,0,0,0,0,0,2.25,0,21.25,76,0,0,0,0,0,0.75,0.659761618
Devon,SX38U,236,88,236,088,236088,23688,236500,88500,0,1,0,0,,4,4,4,4,0,0,0,0,0,5.5,0,22.25,71,0,0,0,0,0,1.25,0.791845937
Devon,SX39Q,236,90,236,090,236090,23690,236500,90500,0,1,0,0,,1,2,1,2,0,0,0,0,0,18,0,8,70,0,0,0,0,0,4.25,0.894620145
Devon,SX39R,236,92,236,092,236092,23692,236500,92500,0,0,1,0,,3,2,2,2,1,0,0,0,0,22.25,2,40.25,35,0,0,0,0,0,1,1.192408398
Devon,SX39S,236,94,236,094,236094,23694,236500,94500,0,2,0,0,,3,3,3,3,0,0,0,0,0,9.25,0.25,19,70.25,0,0.75,0,0,0,1,0.881525937
Devon,SX39T,236,96,236,096,236096,23696,236500,96500,0,1,0,0,,2,2,2,2,0,0,0,0,0,10.75,6.5,34.5,43.25,0,3.25,0,0.75,0,0.75,1.331839424
Devon,SX39U,236,98,236,098,236098,23698,236500,98500,0,0,1,0,,2,1,2,1,0,0,0,0,0,9.25,1.25,31,55.75,0,0.75,0,2,0,1,1.124774397
Devon,SS30Q,236,100,236,100,236100,236100,236500,100500,1,1,0,0,,2,2,2,2,0,0,0,0,0,20,8.75,20,46.5,0,1.75,0,2,0,1.5,1.425027407
Devon,SS30R,236,102,236,102,236102,236102,236500,102500,0,0,1,20,"Hayne Barton https://www.gunsonpegs.com/shoots/devon/hayne-barton pheasant + other, driven. 2 miles from Holsworthy. Beat one stand one. Mostly pheasants. 2 teams of 5-6 alternating drives",4,3,4,3,0,0,0,0,0,9.75,1,31,57.5,0,0,0,0.5,0,0.75,1.01747345
Devon,SS30S,236,104,236,104,236104,236104,236500,104500,0,0,1,0,,3,0,3,0,0,0,0,0,0,14,4.5,21.25,57.75,0,1.5,0,0.25,0,1.25,1.193751918
Devon,SS30T,236,106,236,106,236106,236106,236500,106500,0,0,1,0,,3,0,3,0,0,0,0,0,0,6,0,32,59.75,0,1.25,0,0,0,1.75,0.966709243
Devon,SS30U,236,108,236,108,236108,236108,236500,108500,0,0,1,0,,3,2,3,2,0,0,0,0,0,5.75,0.75,35,56.25,0,0.5,0,0,0,2.25,1.003856747
Devon,SS31Q,236,110,236,110,236110,236110,236500,110500,0,0,1,0,,3,2,3,2,0,0,0,0,0,6,0,40,52,0,0.25,0,0.25,0,1.75,0.976117224
Devon,SS31R,236,112,236,112,236112,236112,236500,112500,0,0,1,0,,3,2,3,2,0,0,0,0,0,5.5,0,34.5,55.25,0,5,0,0,0,0,1.004261846
Devon,SS31S,236,114,236,114,236114,236114,236500,114500,0,2,0,0,,5,2,3,2,2,0,200,2.303196057,1,6.25,0,21.75,69.5,0,1.75,0,0,0,0.75,0.865460098
Devon,SS31T,236,116,236,116,236116,236116,236500,116500,0,1,0,0,,3,3,3,3,0,0,0,0,0,4.5,0,13,69.75,0,11.5,0,0,0,1.25,0.959554182
Devon,SS31U,236,118,236,118,236118,236118,236500,118500,4,0,0,0,,0,0,0,0,0,0,0,0,0,5,52.5,12,28.25,0,2,0,0,0,0.75,1.214544199
Devon,SS32Q,236,120,236,120,236120,236120,236500,120500,0,0,1,0,,7,4,5,3,2,1,0,0,0,10.5,7.75,27.75,50.25,1.25,1.25,0,0,0,1.5,1.308936203
Devon,SS32R,236,122,236,122,236122,236122,236500,122500,0,0,1,0,,4,7,3,6,1,1,0,0,0,17.5,0,40.75,36.25,0,0,0,0,2,2.5,1.209140588
Devon,SS32S,236,124,236,124,236124,236124,236500,124500,0,#N/A,1,0,,1,1,1,1,0,0,0,0,0,2.25,0,0.5,0,0,0,0,0,3.25,0,0.22322373
Devon,SX37W,238,72,238,072,238072,23872,238500,72500,1,0,0,0,,2,0,2,0,0,0,0,0,0,20.25,8.5,6.5,63.25,0.25,0,0,0.25,0,1.25,1.08506351
Devon,SX37X,238,74,238,074,238074,23874,238500,74500,0,0,1,0,,3,3,3,3,0,0,0,0,0,3.5,1.75,17,75.25,0,0,0,0.25,0,2.5,0.810541363
Devon,SX37Y,238,76,238,076,238076,23876,238500,76500,1,0,0,0,,3,3,3,2,0,1,0,0,0,11.75,34.5,21,32.75,0,0,0,0,0,0.5,1.338562618
Devon,SX37Z,238,78,238,078,238078,23878,238500,78500,0,0,1,0,,4,0,3,0,1,0,0,0,0,21.75,5.5,5,66,0,0,0,0,0,1.25,0.970133878
Devon,SX38V,238,80,238,080,238080,23880,238500,80500,0,0,1,0,,3,1,3,1,0,0,0,0,0,6,2,21.5,69.25,0,0,0,0,0,1,0.87803409
Devon,SX38W,238,82,238,082,238082,23882,238500,82500,0,0,1,0,,4,2,4,2,0,0,0,0,0,9,5.25,12,73.75,0.25,0,0,0,0,0,0.865400629
Devon,SX38X,238,84,238,084,238084,23884,238500,84500,0,0,1,0,,4,2,3,2,1,0,14000,4.146159056,1,21.5,0,5.25,62,0.5,0,0,0,0,10.5,1.044716921
Devon,SX38Y,238,86,238,086,238086,23886,238500,86500,0,0,1,0,,2,2,2,2,0,0,0,0,0,0.75,0,23.5,73.75,0,1,0,0,0,1.5,0.710624343
Devon,SX38Z,238,88,238,088,238088,23888,238500,88500,0,0,1,0,,3,2,3,2,0,0,0,0,0,6.75,0,13,79.5,0,0,0,0,0,1.25,0.684342375
Devon,SX39V,238,90,238,090,238090,23890,238500,90500,0,0,1,0,,3,0,3,0,0,0,0,0,0,16.5,0,6.5,73.5,0,3.25,0,0,0,0.75,0.849320987
Devon,SX39W,238,92,238,092,238092,23892,238500,92500,2,0,0,0,,4,4,3,4,1,0,0,0,0,5,0.5,37.5,55.5,0,0,0,0,0,1.5,0.933861623
Devon,SX39X,238,94,238,094,238094,23894,238500,94500,2,0,0,0,,2,2,2,2,0,0,0,0,0,7.75,6.5,28.5,54,0,0,0,0,0,3.25,1.177726512
Devon,SX39Y,238,96,238,096,238096,23896,238500,96500,0,0,1,0,,2,2,2,2,0,0,0,0,0,6.5,0,31,60.5,0,0.5,0,0,0,1,0.91730766
Devon,SX39Z,238,98,238,098,238098,23898,238500,98500,0,0,1,0,,2,2,2,2,0,0,0,0,0,16.75,10.25,24,47.75,0,0,0,0.25,0,1.5,1.306214199
Devon,SS30V,238,100,238,100,238100,238100,238500,100500,0,1,0,0,,3,2,3,2,0,0,0,0,0,26,16.75,8.25,43.25,0,5,0,0,0,0.5,1.3941454
Devon,SS30W,238,102,238,102,238102,238102,238500,102500,0,2,0,0,,4,4,4,4,0,0,0,0,0,17.75,29.25,16.5,32.5,0,2.75,0,0.75,0,0.5,1.491013816
Devon,SS30X,238,104,238,104,238104,238104,238500,104500,0,0,1,0,,4,4,4,3,0,1,0,0,0,19.75,5.75,27.5,42.25,0,4.25,0,0,0,1.25,1.392599814
Devon,SS30Y,238,106,238,106,238106,238106,238500,106500,0,0,1,0,,4,2,4,2,0,0,0,0,0,4,5,28,60.75,0,0,0,0,0,2.25,1.023122321
Devon,SS30Z,238,108,238,108,238108,238108,238500,108500,0,0,1,0,,3,2,3,2,0,0,0,0,0,8.75,0.5,22.75,67.75,0,0,0,0,0,1,0.886322857
Devon,SS31V,238,110,238,110,238110,238110,238500,110500,1,0,0,0,,2,0,2,0,0,0,0,0,0,5.75,0,29,62.5,0,0.25,0,0,0,2.5,0.924154773
Devon,SS31W,238,112,238,112,238112,238112,238500,112500,0,2,0,0,,0,2,0,2,0,0,0,0,0,14,0,28,57.5,0,0.25,0,0,0,1,1.010913064
Devon,SS31X,238,114,238,114,238114,238114,238500,114500,0,0,1,0,,5,2,3,2,2,0,0,0,0,6.25,0,42.25,47,0,3.25,0,0,0,1.75,1.074317919
Devon,SS31Y,238,116,238,116,238116,238116,238500,116500,0,1,0,0,,3,3,3,3,0,0,0,0,0,9.75,0,26.5,53.25,0,9,0,0,0,1.5,1.194174752
Devon,SS31Z,238,118,238,118,238118,238118,238500,118500,1,4,0,0,,3,4,3,4,0,0,0,0,0,6.75,10.25,2.75,79,0,0,0,0.25,0,1,0.761513009
Devon,SS32V,238,120,238,120,238120,238120,238500,120500,0,0,1,0,,4,4,4,4,0,0,0,0,0,13,3,10.75,67.5,0,0.5,0,1.5,0,3.75,1.088097819
